ID,Name,Dex,Set,Era,Rarity,Artist,Image URL (High Res),TCGPlayer Market Link
sv4-254,Mela,,Paradox Rift,Scarlet & Violet,Special Illustration Rare,rika,https://images.pokemontcg.io/sv4/254_hires.png,https://prices.pokemontcg.io/tcgplayer/sv4-254
sv1-251,Miriam,,Scarlet & Violet,Scarlet & Violet,Special Illustration Rare,Akira Komayama,https://images.pokemontcg.io/sv1/251_hires.png,https://prices.pokemontcg.io/tcgplayer/sv1-251
sv5-211,Morty's Conviction,,Temporal Forces,Scarlet & Violet,Special Illustration Rare,Megumi Mizutani,https://images.pokemontcg.io/sv5/211_hires.png,https://prices.pokemontcg.io/tcgplayer/sv5-211
sv6pt5-72,Munkidori,,Shrouded Fable,Scarlet & Violet,Illustration Rare,Unknown,https://images.pokemontcg.io/sv6pt5/72_hires.png,https://prices.pokemontcg.io/tcgplayer/sv6pt5-72
sv6pt5-91,Munkidori ex,,Shrouded Fable,Scarlet & Violet,Special Illustration Rare,Unknown,https://images.pokemontcg.io/sv6pt5/91_hires.png,https://prices.pokemontcg.io/tcgplayer/sv6pt5-91
zsv10pt5-170,N's Plan,,Black Bolt,Scarlet & Violet,Special Illustration Rare,REND,https://images.pokemontcg.io/zsv10pt5/170_hires.png,https://prices.pokemontcg.io/tcgplayer/zsv10pt5-170
sv4pt5-238,Nemona,,Paldean Fates,Scarlet & Violet,Special Illustration Rare,aspara,https://images.pokemontcg.io/sv4pt5/238_hires.png,https://prices.pokemontcg.io/tcgplayer/sv4pt5-238
sv6pt5-74,Okidogi,,Shrouded Fable,Scarlet & Violet,Illustration Rare,Unknown,https://images.pokemontcg.io/sv6pt5/74_hires.png,https://prices.pokemontcg.io/tcgplayer/sv6pt5-74
sv6pt5-90,Okidogi ex,,Shrouded Fable,Scarlet & Violet,Special Illustration Rare,Unknown,https://images.pokemontcg.io/sv6pt5/90_hires.png,https://prices.pokemontcg.io/tcgplayer/sv6pt5-90
sv4-255,Parasol Lady,,Paradox Rift,Scarlet & Violet,Special Illustration Rare,En Morikura,https://images.pokemontcg.io/sv4/255_hires.png,https://prices.pokemontcg.io/tcgplayer/sv4-255
sv6pt5-93,Pecharunt ex,,Shrouded Fable,Scarlet & Violet,Special Illustration Rare,Unknown,https://images.pokemontcg.io/sv6pt5/93_hires.png,https://prices.pokemontcg.io/tcgplayer/sv6pt5-93
sv4pt5-239,Penny,,Paldean Fates,Scarlet & Violet,Special Illustration Rare,aspara,https://images.pokemontcg.io/sv4pt5/239_hires.png,https://prices.pokemontcg.io/tcgplayer/sv4pt5-239
sv1-252,Penny,,Scarlet & Violet,Scarlet & Violet,Special Illustration Rare,OKACHEKE,https://images.pokemontcg.io/sv1/252_hires.png,https://prices.pokemontcg.io/tcgplayer/sv1-252
sv6-220,Perrin,,Twilight Masquerade,Scarlet & Violet,Special Illustration Rare,GIDORA,https://images.pokemontcg.io/sv6/220_hires.png,https://prices.pokemontcg.io/tcgplayer/sv6-220
sv6-171,Poltchageist,,Twilight Masquerade,Scarlet & Violet,Illustration Rare,Saboteri,https://images.pokemontcg.io/sv6/171_hires.png,https://prices.pokemontcg.io/tcgplayer/sv6-171
sv3-227,Poppy,,Obsidian Flames,Scarlet & Violet,Special Illustration Rare,Ryota Murayama,https://images.pokemontcg.io/sv3/227_hires.png,https://prices.pokemontcg.io/tcgplayer/sv3-227
sv4-256,Professor Sada's Vitality,,Paradox Rift,Scarlet & Violet,Special Illustration Rare,Ryota Murayama,https://images.pokemontcg.io/sv4/256_hires.png,https://prices.pokemontcg.io/tcgplayer/sv4-256
sv4-257,Professor Turo's Scenario,,Paradox Rift,Scarlet & Violet,Special Illustration Rare,Atsushi Furusawa,https://images.pokemontcg.io/sv4/257_hires.png,https://prices.pokemontcg.io/tcgplayer/sv4-257
sv8pt5-166,Raging Bolt ex,,Prismatic Evolutions,Scarlet & Violet,Special Illustration Rare,Unknown,https://images.pokemontcg.io/sv8pt5/166_hires.png,https://prices.pokemontcg.io/tcgplayer/sv8pt5-166
sv5-208,Raging Bolt ex,,Temporal Forces,Scarlet & Violet,Special Illustration Rare,Teeziro,https://images.pokemontcg.io/sv5/208_hires.png,https://prices.pokemontcg.io/tcgplayer/sv5-208
sv4-258,Rika,,Paradox Rift,Scarlet & Violet,Special Illustration Rare,kantaro,https://images.pokemontcg.io/sv4/258_hires.png,https://prices.pokemontcg.io/tcgplayer/sv4-258
sv8pt5-162,Roaring Moon ex,,Prismatic Evolutions,Scarlet & Violet,Special Illustration Rare,Unknown,https://images.pokemontcg.io/sv8pt5/162_hires.png,https://prices.pokemontcg.io/tcgplayer/sv8pt5-162
me3-123,Rosa's Encouragement,,Perfect Order,Mega Evolution,Special Illustration Rare,Unknown,https://images.scrydex.com/pokemon/me3-123/large,https://prices.pokemontcg.io/tcgplayer/me3-123
sv2-270,Saguaro,,Paldea Evolved,Scarlet & Violet,Special Illustration Rare,Sanosuke Sakuma,https://images.pokemontcg.io/sv2/270_hires.png,https://prices.pokemontcg.io/tcgplayer/sv2-270
sv5-212,Salvatore,,Temporal Forces,Scarlet & Violet,Special Illustration Rare,Tetsu Kayama,https://images.pokemontcg.io/sv5/212_hires.png,https://prices.pokemontcg.io/tcgplayer/sv5-212
sv8pt5-159,Sandy Shocks ex,,Prismatic Evolutions,Scarlet & Violet,Special Illustration Rare,Unknown,https://images.pokemontcg.io/sv8pt5/159_hires.png,https://prices.pokemontcg.io/tcgplayer/sv8pt5-159
sv6-210,Sinistcha ex,,Twilight Masquerade,Scarlet & Violet,Special Illustration Rare,Saboteri,https://images.pokemontcg.io/sv6/210_hires.png,https://prices.pokemontcg.io/tcgplayer/sv6-210
me2pt5-293,Surfer,,Ascended Heroes,Mega Evolution,Special Illustration Rare,OKUBO,https://images.scrydex.com/pokemon/me2pt5-293/large,https://prices.pokemontcg.io/tcgplayer/me2pt5-293
sv6pt5-65,Tapu Bulu,,Shrouded Fable,Scarlet & Violet,Illustration Rare,Unknown,https://images.pokemontcg.io/sv6pt5/65_hires.png,https://prices.pokemontcg.io/tcgplayer/sv6pt5-65
sv6-211,Teal Mask Ogerpon ex,,Twilight Masquerade,Scarlet & Violet,Special Illustration Rare,Yano Keiji,https://images.pokemontcg.io/sv6/211_hires.png,https://prices.pokemontcg.io/tcgplayer/sv6-211
sv10-237,Team Rocket's Ariana,,Destined Rivals,Scarlet & Violet,Special Illustration Rare,Yoshioka,https://images.pokemontcg.io/sv10/237_hires.png,https://prices.pokemontcg.io/tcgplayer/sv10-237
sv10-238,Team Rocket's Giovanni,,Destined Rivals,Scarlet & Violet,Special Illustration Rare,Krgc,https://images.pokemontcg.io/sv10/238_hires.png,https://prices.pokemontcg.io/tcgplayer/sv10-238
sv7-170,Terapagos ex,,Stellar Crown,Scarlet & Violet,Special Illustration Rare,Unknown,https://images.pokemontcg.io/sv7/170_hires.png,https://prices.pokemontcg.io/tcgplayer/sv7-170
sv4-259,Tulip,,Paradox Rift,Scarlet & Violet,Special Illustration Rare,AKIRA EGAWA,https://images.pokemontcg.io/sv4/259_hires.png,https://prices.pokemontcg.io/tcgplayer/sv4-259
me1-186,Wally's Compassion,,Mega Evolution,Mega Evolution,Special Illustration Rare,Unknown,https://images.pokemontcg.io/me1/186_hires.png,https://prices.pokemontcg.io/tcgplayer/me1-186
sv6-213,Wellspring Mask Ogerpon ex,,Twilight Masquerade,Scarlet & Violet,Special Illustration Rare,Yano Keiji,https://images.pokemontcg.io/sv6/213_hires.png,https://prices.pokemontcg.io/tcgplayer/sv6-213
